Date,Commodity,Wholesale,Retail,Landing
12/6/2024,Gabi (bisol),50.00,60.00,
12/6/2024,Kamote,35.00,40.00,
12/6/2024,Karlang,40.00,70.00,
12/6/2024,Cassava,15.00,20.00,
12/5/2024,Gabi (bisol),50.00,60.00,
12/5/2024,Kamote,35.00,40.00,
12/5/2024,Karlang,40.00,70.00,
12/5/2024,Cassava,14.00,20.00,
12/4/2024,Gabi (bisol),50.00,65.00,20.00
12/4/2024,Kamote,35.00,40.00,15.00
12/4/2024,Karlang,40.00,70.00,13.00
12/4/2024,Cassava,15.00,20.00,18.00
12/3/2024,Gabi (bisol),50.00,60.00,20.00
12/3/2024,Kamote,35.00,35.00,15.00
12/3/2024,Karlang,40.00,70.00,13.00
12/3/2024,Cassava,15.00,20.00,18.00
12/2/2024,Gabi (bisol),55.00,60.00,20.00
12/2/2024,Kamote,35.00,35.00,15.00
12/2/2024,Karlang,40.00,70.00,13.00
12/2/2024,Cassava,15.00,20.00,18.00
12/1/2024,Gabi (bisol),50.00,65.00,20.00
12/1/2024,Kamote,28.00,35.00,15.00
12/1/2024,Karlang,55.00,70.00,13.00
12/1/2024,Cassava,12.00,20.00,18.00
11/30/2024,Gabi (bisol),49.00,65.00,20.00
11/30/2024,Kamote,29.00,40.00,32.00
11/30/2024,Karlang,50.00,65.00,34.00
11/30/2024,Cassava,12.00,20.00,18.00
11/29/2024,Gabi (bisol),55.00,60.00,20.00
11/29/2024,Kamote,35.00,40.00,15.00
11/29/2024,Karlang,40.00,70.00,13.00
11/29/2024,Cassava,12.00,20.00,18.00
11/28/2024,Gabi (bisol),55.00,65.00,20.00
11/28/2024,Kamote,35.00,40.00,15.00
11/28/2024,Karlang,45.00,70.00,13.00
11/28/2024,Cassava,15.00,20.00,18.00
11/27/2024,Gabi (bisol),55.00,60.00,20.00
11/27/2024,Kamote,35.00,40.00,15.00
11/27/2024,Karlang,45.00,70.00,13.00
11/27/2024,Cassava,15.00,20.00,18.00
11/26/2024,Gabi (bisol),60.00,70.00,20.00
11/26/2024,Kamote,30.00,35.00,15.00
11/26/2024,Karlang,50.00,70.00,13.00
11/26/2024,Cassava,20.00,30.00,18.00
11/25/2024,Gabi (bisol),60.00,70.00,20.00
